date,total_withdrawals_cop,transaction_count,day_of_week,is_weekend,is_holiday,is_payday,is_month_end,days_to_payday,trend,special_event
2024-09-07,160608170999,535766,5,1,0,0,0,8,0.09315068493150686,0
2024-09-08,90960192335,403899,6,1,0,0,0,7,0.09452054794520548,0
2024-09-09,90637689063,396425,0,0,0,0,0,6,0.0958904109589041,0
2024-09-10,94580082509,418895,1,0,0,0,0,5,0.09726027397260274,0
2024-09-11,110178391853,419799,2,0,0,0,0,4,0.09863013698630137,0
2024-09-12,118663999919,464155,3,0,0,0,0,3,0.1,0
2024-09-13,143354678259,482807,4,0,0,0,0,2,0.10136986301369863,0
2024-09-14,160711341436,531063,5,1,0,0,0,1,0.10273972602739725,0
2024-09-15,93040531121,421097,6,1,0,1,0,0,0.10410958904109589,0
2024-09-16,106913645352,493167,0,0,0,0,0,14,0.10547945205479452,0
2024-09-17,123830614189,495344,1,0,0,0,0,13,0.10684931506849316,0
2024-09-18,115850190018,447283,2,0,0,0,0,12,0.10821917808219178,0
2024-09-19,111118592780,464987,3,0,0,0,0,11,0.1095890410958904,0
2024-09-20,108038709457,450670,4,0,0,0,0,10,0.11095890410958904,0
2024-09-21,134136143955,486213,5,1,0,0,0,9,0.11232876712328767,0
2024-09-22,84730463430,401064,6,1,0,0,0,8,0.1136986301369863,0
2024-09-23,95317077827,403883,0,0,0,0,0,7,0.11506849315068493,0
2024-09-24,132902517265,492083,1,0,0,0,0,6,0.11643835616438356,0
2024-09-25,106595108103,442986,2,0,0,0,0,5,0.1178082191780822,0
2024-09-26,113488320880,449494,3,0,0,0,0,4,0.11917808219178082,0
2024-09-27,133919489405,502597,4,0,0,0,0,3,0.12054794520547946,0
2024-09-28,121680250384,525602,5,1,0,0,0,2,0.12191780821917808,0
2024-09-29,93910013384,442534,6,1,0,0,0,1,0.1232876712328767,0
2024-09-30,147336827520,491540,0,0,0,1,1,0,0.12465753424657534,0
2024-10-01,104249172080,464575,1,0,0,0,0,14,0.12602739726027398,0
2024-10-02,88025669185,465982,2,0,0,0,0,13,0.1273972602739726,0
2024-10-03,70889825837,371560,3,0,0,0,0,12,0.12876712328767123,0
2024-10-04,106013191141,408837,4,0,0,0,0,11,0.13013698630136986,0
2024-10-05,117093391900,434336,5,1,0,0,0,10,0.13150684931506848,0
2024-10-06,82467041341,370829,6,1,0,0,0,9,0.13287671232876713,0
2024-10-07,134913988001,459914,0,0,0,0,0,8,0.13424657534246576,0
2024-10-08,75347064604,424726,1,0,0,0,0,7,0.13561643835616438,0
2024-10-09,116427515471,438243,2,0,0,0,0,6,0.136986301369863,0
2024-10-10,143719681860,491902,3,0,0,0,0,5,0.13835616438356163,0
2024-10-11,102356041057,457392,4,0,0,0,0,4,0.13972602739726028,0
2024-10-12,135704202625,528534,5,1,0,0,0,3,0.1410958904109589,0
2024-10-13,77094837441,375136,6,1,0,0,0,2,0.14246575342465753,0
2024-10-14,80220584055,350430,0,0,1,0,0,1,0.14383561643835616,0
2024-10-15,113256772171,450616,1,0,0,1,0,0,0.14520547945205478,0
2024-10-16,142082587045,477541,2,0,0,0,0,15,0.14657534246575343,0
2024-10-17,143242036950,476218,3,0,0,0,0,14,0.14794520547945206,0
2024-10-18,99802303396,401193,4,0,0,0,0,13,0.14931506849315068,0
2024-10-19,171389247941,517738,5,1,0,0,0,12,0.1506849315068493,0
2024-10-20,95561471205,420524,6,1,0,0,0,11,0.15205479452054796,0
2024-10-21,132024709845,424659,0,0,0,0,0,10,0.15342465753424658,0
2024-10-22,105305054507,406495,1,0,0,0,0,9,0.1547945205479452,0
2024-10-23,119252382741,461473,2,0,0,0,0,8,0.15616438356164383,0
2024-10-24,109215283943,423867,3,0,0,0,0,7,0.15753424657534246,0
2024-10-25,174864703466,487556,4,0,0,0,0,6,0.1589041095890411,0
2024-10-26,149272993292,501877,5,1,0,0,0,5,0.16027397260273973,0
2024-10-27,98215280621,473559,6,1,0,0,0,4,0.16164383561643836,0
2024-10-28,126725942165,441307,0,0,0,0,0,3,0.16301369863013698,0
2024-10-29,107057326727,426511,1,0,0,0,0,2,0.1643835616438356,0
2024-10-30,122440684317,510511,2,0,0,0,0,1,0.16575342465753426,0
2024-10-31,140119058796,511045,3,0,0,1,1,0,0.16712328767123288,0
2024-11-01,147659189436,565749,4,0,0,0,0,14,0.1684931506849315,0
2024-11-02,157269646345,563043,5,1,0,0,0,13,0.16986301369863013,0
2024-11-03,97642950090,429446,6,1,0,0,0,12,0.17123287671232876,0
2024-11-04,110037042576,410497,0,0,1,0,0,11,0.1726027397260274,0
2024-11-05,116491656599,421743,1,0,0,0,0,10,0.17397260273972603,0
2024-11-06,85542880230,436680,2,0,0,0,0,9,0.17534246575342466,0
2024-11-07,110254147474,412288,3,0,0,0,0,8,0.17671232876712328,0
2024-11-08,106989942005,465689,4,0,0,0,0,7,0.1780821917808219,0
2024-11-09,99276929702,443485,5,1,0,0,0,6,0.17945205479452056,0
2024-11-10,99825665573,442193,6,1,0,0,0,5,0.18082191780821918,0
2024-11-11,93146140989,357352,0,0,1,0,0,4,0.1821917808219178,0
2024-11-12,99404667192,411922,1,0,0,0,0,3,0.18356164383561643,0
2024-11-13,118973781313,423234,2,0,0,0,0,2,0.18493150684931506,0
2024-11-14,96733907433,464935,3,0,0,0,0,1,0.1863013698630137,0
2024-11-15,137222115965,553077,4,0,0,1,0,0,0.18767123287671234,0
2024-11-16,163454287299,648358,5,1,0,0,0,14,0.18904109589041096,0
2024-11-17,120181359596,530769,6,1,0,0,0,13,0.19041095890410958,0
2024-11-18,126959263986,475307,0,0,0,0,0,12,0.1917808219178082,0
2024-11-19,45341773194,195648,1,0,0,0,0,11,0.19315068493150686,0
2024-11-20,105302191681,378420,2,0,0,0,0,10,0.19452054794520549,0
2024-11-21,116505795236,465521,3,0,0,0,0,9,0.1958904109589041,0
2024-11-22,91288045404,452054,4,0,0,0,0,8,0.19726027397260273,0
2024-11-23,102299128504,492450,5,1,0,0,0,7,0.19863013698630136,0
2024-11-24,90959431474,399432,6,1,0,0,0,6,0.2,0
2024-11-25,114611740180,454804,0,0,0,0,0,5,0.20136986301369864,0
2024-11-26,137124802655,525836,1,0,0,0,0,4,0.20273972602739726,0
2024-11-27,122004392481,477405,2,0,0,0,0,3,0.20410958904109588,0
2024-11-28,115096421485,450448,3,0,0,0,0,2,0.2054794520547945,0
2024-11-29,129570259182,444617,4,0,0,0,0,1,0.20684931506849316,0
2024-11-30,112221427998,476076,5,1,0,1,1,0,0.20821917808219179,0
2024-12-01,102364847629,430983,6,1,0,0,0,14,0.2095890410958904,0
2024-12-02,131949529068,484111,0,0,0,0,0,13,0.21095890410958903,0
2024-12-03,186983705809,564737,1,0,0,0,0,12,0.21232876712328766,0
2024-12-04,172740505218,483626,2,0,0,0,0,11,0.2136986301369863,0
2024-12-05,144396278435,505072,3,0,0,0,0,10,0.21506849315068494,0
2024-12-06,105523439065,475518,4,0,0,0,0,9,0.21643835616438356,0
2024-12-07,122333287618,466530,5,1,0,0,0,8,0.21780821917808219,0
2024-12-08,78538172320,315229,6,1,1,0,0,7,0.2191780821917808,0
2024-12-09,128864844224,439537,0,0,0,0,0,6,0.22054794520547946,0
2024-12-10,177886167643,583617,1,0,0,0,0,5,0.2219178082191781,0
2024-12-11,139151300565,445025,2,0,0,0,0,4,0.2232876712328767,0
2024-12-12,145827777885,501687,3,0,0,0,0,3,0.22465753424657534,0
2024-12-13,164443443536,459851,4,0,0,0,0,2,0.22602739726027396,0
2024-12-14,172609494098,569000,5,1,0,0,0,1,0.2273972602739726,0
2024-12-15,118256201601,475759,6,1,0,1,0,0,0.22876712328767124,0
2024-12-16,167505699099,503337,0,0,0,0,0,15,0.23013698630136986,0
2024-12-17,128459679146,490576,1,0,0,0,0,14,0.23150684931506849,0
2024-12-18,148346307604,454622,2,0,0,0,0,13,0.2328767123287671,0
2024-12-19,149342024744,487779,3,0,0,0,0,12,0.23424657534246576,0
2024-12-20,150792351161,482569,4,0,0,0,0,11,0.2356164383561644,0
2024-12-21,184849437859,469547,5,1,0,0,0,10,0.236986301369863,0
2024-12-22,99168492789,385938,6,1,0,0,0,9,0.23835616438356164,0
2024-12-23,189722953516,482598,0,0,0,0,0,8,0.23972602739726026,0
2024-12-24,176845093816,565333,1,0,0,0,0,7,0.2410958904109589,0
2024-12-25,65120544110,246320,2,0,1,0,0,6,0.24246575342465754,0
2024-12-26,142467022416,466399,3,0,0,0,0,5,0.24383561643835616,0
2024-12-27,143958034759,518846,4,0,0,0,0,4,0.2452054794520548,0
2024-12-28,178644362132,592914,5,1,0,0,0,3,0.2465753424657534,0
2024-12-29,130261133866,447057,6,1,0,0,0,2,0.24794520547945206,0
2024-12-30,168865191742,501468,0,0,0,0,0,1,0.2493150684931507,0
2024-12-31,182601793260,612807,1,0,0,1,1,0,0.25068493150684934,0
2025-01-01,67922376388,242245,2,0,1,0,0,14,0.25205479452054796,0
2025-01-02,141413760564,510517,3,0,0,0,0,13,0.2534246575342466,0
2025-01-03,141066883433,470375,4,0,0,0,0,12,0.2547945205479452,0
2025-01-04,122130985316,431869,5,1,0,0,0,11,0.25616438356164384,0
2025-01-05,91380064638,351672,6,1,0,0,0,10,0.25753424657534246,0
2025-01-06,78815876519,401576,0,0,1,0,0,9,0.2589041095890411,0
2025-01-07,130768528645,525833,1,0,0,0,0,8,0.2602739726027397,0
2025-01-08,98847531449,439410,2,0,0,0,0,7,0.26164383561643834,0
2025-01-09,103430202708,418602,3,0,0,0,0,6,0.26301369863013696,0
2025-01-10,125617017192,526378,4,0,0,0,0,5,0.26438356164383564,0
2025-01-11,114664653308,439310,5,1,0,0,0,4,0.26575342465753427,0
2025-01-12,101639723848,370711,6,1,0,0,0,3,0.2671232876712329,0
2025-01-13,115592670970,464784,0,0,0,0,0,2,0.2684931506849315,0
2025-01-14,119971752424,441371,1,0,0,0,0,1,0.26986301369863014,0
2025-01-15,116292695179,475708,2,0,0,1,0,0,0.27123287671232876,0
2025-01-16,114184483450,463790,3,0,0,0,0,15,0.2726027397260274,0
2025-01-17,123742180931,481860,4,0,0,0,0,14,0.273972602739726,0
2025-01-18,155340858276,552639,5,1,0,0,0,13,0.27534246575342464,0
2025-01-19,104333513168,408614,6,1,0,0,0,12,0.27671232876712326,0
2025-01-20,142299757450,467266,0,0,0,0,0,11,0.27808219178082194,0
2025-01-21,100917694845,375158,1,0,0,0,0,10,0.27945205479452057,0
2025-01-22,121191924199,449384,2,0,0,0,0,9,0.2808219178082192,0
2025-01-23,85278896536,404900,3,0,0,0,0,8,0.2821917808219178,0
2025-01-24,106442254400,418556,4,0,0,0,0,7,0.28356164383561644,0
2025-01-25,135013278210,454128,5,1,0,0,0,6,0.28493150684931506,0
2025-01-26,97882065648,395201,6,1,0,0,0,5,0.2863013698630137,0
2025-01-27,125503906523,480606,0,0,0,0,0,4,0.2876712328767123,0
2025-01-28,117049724522,407268,1,0,0,0,0,3,0.28904109589041094,0
2025-01-29,121538782508,455001,2,0,0,0,0,2,0.29041095890410956,0
2025-01-30,128574024523,459191,3,0,0,0,0,1,0.29178082191780824,0
2025-01-31,136833636202,513716,4,0,0,1,1,0,0.29315068493150687,0
2025-02-01,163029374430,617353,5,1,0,0,0,14,0.2945205479452055,0
2025-02-02,117098843433,485887,6,1,0,0,0,13,0.2958904109589041,0
2025-02-03,92750328020,544043,0,0,0,0,0,12,0.29726027397260274,0
2025-02-04,139927439811,498762,1,0,0,0,0,11,0.29863013698630136,0
2025-02-05,68116834716,465169,2,0,0,0,0,10,0.3,0
2025-02-06,94616032984,472021,3,0,0,0,0,9,0.3013698630136986,0
2025-02-07,147995793793,528161,4,0,0,0,0,8,0.30273972602739724,0
2025-02-08,160884914173,550754,5,1,0,0,0,7,0.3041095890410959,0
2025-02-09,80714212468,404255,6,1,0,0,0,6,0.30547945205479454,0
2025-02-10,118539032951,492138,0,0,0,0,0,5,0.30684931506849317,0
2025-02-11,162331901625,518915,1,0,0,0,0,4,0.3082191780821918,0
2025-02-12,150362590460,611908,2,0,0,0,0,3,0.3095890410958904,0
2025-02-13,181843994873,566077,3,0,0,0,0,2,0.31095890410958904,0
2025-02-14,127678156721,479712,4,0,0,0,0,1,0.31232876712328766,0
2025-02-15,163352623039,562764,5,1,0,1,0,0,0.3136986301369863,0
2025-02-16,117183735021,422312,6,1,0,0,0,12,0.3150684931506849,0
2025-02-17,124495942380,464655,0,0,0,0,0,11,0.31643835616438354,0
2025-02-18,124430486712,525679,1,0,0,0,0,10,0.3178082191780822,0
2025-02-19,143349509897,555943,2,0,0,0,0,9,0.31917808219178084,0
2025-02-20,114825659214,454891,3,0,0,0,0,8,0.32054794520547947,0
2025-02-21,109613304643,491609,4,0,0,0,0,7,0.3219178082191781,0
2025-02-22,118742618035,442006,5,1,0,0,0,6,0.3232876712328767,0
2025-02-23,94584551637,446098,6,1,0,0,0,5,0.32465753424657534,0
2025-02-24,130952149557,446168,0,0,0,0,0,4,0.32602739726027397,0
2025-02-25,132430478293,489378,1,0,0,0,0,3,0.3273972602739726,0
2025-02-26,117404067018,464380,2,0,0,0,0,2,0.3287671232876712,0
2025-02-27,121640129732,485259,3,0,0,0,0,1,0.33013698630136984,0
2025-02-28,121212596306,442053,4,0,0,1,1,0,0.3315068493150685,0
2025-03-01,149653844100,501967,5,1,0,0,0,14,0.33287671232876714,0
2025-03-02,115713659514,564030,6,1,0,0,0,13,0.33424657534246577,0
2025-03-03,101526374609,438485,0,0,0,0,0,12,0.3356164383561644,0
2025-03-04,142327875670,465590,1,0,0,0,0,11,0.336986301369863,0
2025-03-05,147149060165,590625,2,0,0,0,0,10,0.33835616438356164,0
2025-03-06,130995891716,620636,3,0,0,0,0,9,0.33972602739726027,0
2025-03-07,133038307950,472240,4,0,0,0,0,8,0.3410958904109589,0
2025-03-08,157116046529,535349,5,1,0,0,0,7,0.3424657534246575,0
2025-03-09,89885262302,471593,6,1,0,0,0,6,0.34383561643835614,0
2025-03-10,156898870513,576142,0,0,0,0,0,5,0.3452054794520548,0
2025-03-11,139212369511,473190,1,0,0,0,0,4,0.34657534246575344,0
2025-03-12,136682962742,498268,2,0,0,0,0,3,0.34794520547945207,0
2025-03-13,145012506476,529205,3,0,0,0,0,2,0.3493150684931507,0
2025-03-14,122837538223,551461,4,0,0,0,0,1,0.3506849315068493,0
2025-03-15,165042709202,570052,5,1,0,1,0,0,0.35205479452054794,0
2025-03-16,110598777208,490761,6,1,0,0,0,15,0.35342465753424657,0
2025-03-17,109826454087,439190,0,0,0,0,0,14,0.3547945205479452,0
2025-03-18,152774099547,510870,1,0,0,0,0,13,0.3561643835616438,0
2025-03-19,154782436579,499930,2,0,0,0,0,12,0.35753424657534244,0
2025-03-20,157375275183,507608,3,0,0,0,0,11,0.3589041095890411,0
2025-03-21,157447448495,506838,4,0,0,0,0,10,0.36027397260273974,0
2025-03-22,160544192696,583320,5,1,0,0,0,9,0.36164383561643837,0
2025-03-23,123171880270,504524,6,1,0,0,0,8,0.363013698630137,0
2025-03-24,118664044002,408728,0,0,1,0,0,7,0.3643835616438356,0
2025-03-25,148965430634,541437,1,0,0,0,0,6,0.36575342465753424,0
2025-03-26,138389119304,517383,2,0,0,0,0,5,0.36712328767123287,0
2025-03-27,140338527357,499852,3,0,0,0,0,4,0.3684931506849315,0
2025-03-28,133810035842,501495,4,0,0,0,0,3,0.3698630136986301,0
2025-03-29,147467750437,578556,5,1,0,0,0,2,0.37123287671232874,0
2025-03-30,111956507755,502225,6,1,0,0,0,1,0.3726027397260274,0
2025-03-31,193175982009,674182,0,0,0,1,1,0,0.37397260273972605,0
2025-04-01,171835085849,632422,1,0,0,0,0,14,0.37534246575342467,0
2025-04-02,152924221871,557044,2,0,0,0,0,13,0.3767123287671233,0
2025-04-03,129389018278,467984,3,0,0,0,0,12,0.3780821917808219,0
2025-04-04,124715506509,485182,4,0,0,0,0,11,0.37945205479452054,0
2025-04-05,191072320582,626132,5,1,0,0,0,10,0.38082191780821917,0
2025-04-06,117497392165,478335,6,1,0,0,0,9,0.3821917808219178,0
2025-04-07,120679128362,531210,0,0,0,0,0,8,0.3835616438356164,0
2025-04-08,142682831319,447111,1,0,0,0,0,7,0.38493150684931504,0
2025-04-09,139995734718,563817,2,0,0,0,0,6,0.3863013698630137,0
2025-04-10,108001823662,525810,3,0,0,0,0,5,0.38767123287671235,0
2025-04-11,115020055549,487845,4,0,0,0,0,4,0.38904109589041097,0
2025-04-12,133850426106,544374,5,1,0,0,0,3,0.3904109589041096,0
2025-04-13,113878051921,480906,6,1,0,0,0,2,0.3917808219178082,0
2025-04-14,132866777416,514316,0,0,0,0,0,1,0.39315068493150684,0
2025-04-15,143883439604,550324,1,0,0,1,0,0,0.39452054794520547,0
2025-04-16,159109126345,559722,2,0,0,0,0,14,0.3958904109589041,0
2025-04-17,106081823964,397045,3,0,1,0,0,13,0.3972602739726027,0
2025-04-18,123835572496,441889,4,0,1,0,0,12,0.39863013698630134,0
2025-04-19,190569110308,647193,5,1,0,0,0,11,0.4,0
2025-04-20,91922043908,363154,6,1,0,0,0,10,0.40136986301369865,0
2025-04-21,100656953307,503637,0,0,0,0,0,9,0.40273972602739727,0
2025-04-22,142099764370,544530,1,0,0,0,0,8,0.4041095890410959,0
2025-04-23,105645377410,539910,2,0,0,0,0,7,0.4054794520547945,0
2025-04-24,127412861477,493420,3,0,0,0,0,6,0.40684931506849314,0
2025-04-25,124639376313,461158,4,0,0,0,0,5,0.40821917808219177,0
2025-04-26,187123469065,591489,5,1,0,0,0,4,0.4095890410958904,0
2025-04-27,147946428667,548543,6,1,0,0,0,3,0.410958904109589,0
2025-04-28,122391275995,445912,0,0,0,0,0,2,0.4123287671232877,0
2025-04-29,149198465503,580742,1,0,0,0,0,1,0.4136986301369863,0
2025-04-30,157070863305,559225,2,0,0,1,1,0,0.41506849315068495,0
2025-05-01,106540310862,441707,3,0,1,0,0,14,0.41643835616438357,0
2025-05-02,144643885173,534127,4,0,0,0,0,13,0.4178082191780822,0
2025-05-03,181718142175,577158,5,1,0,0,0,12,0.4191780821917808,0
2025-05-04,121169052141,549245,6,1,0,0,0,11,0.42054794520547945,0
2025-05-05,165974267677,563922,0,0,0,0,0,10,0.42191780821917807,0
2025-05-06,190960291268,645130,1,0,0,0,0,9,0.4232876712328767,0
2025-05-07,142547388298,605610,2,0,0,0,0,8,0.4246575342465753,0
2025-05-08,159172069942,552563,3,0,0,0,0,7,0.426027397260274,0
2025-05-09,194010247906,659865,4,0,0,0,0,6,0.4273972602739726,0
2025-05-10,177492346910,621853,5,1,0,0,0,5,0.42876712328767125,0
2025-05-11,114273383449,531149,6,1,0,0,0,4,0.4301369863013699,0
2025-05-12,126394501799,524281,0,0,0,0,0,3,0.4315068493150685,0
2025-05-13,144769805668,564427,1,0,0,0,0,2,0.4328767123287671,0
2025-05-14,146311901843,515928,2,0,0,0,0,1,0.43424657534246575,0
2025-05-15,141080368215,616878,3,0,0,1,0,0,0.43561643835616437,0
2025-05-16,158299983934,553564,4,0,0,0,0,15,0.436986301369863,0
2025-05-17,154710034299,643726,5,1,0,0,0,14,0.4383561643835616,0
2025-05-18,113001396992,488401,6,1,0,0,0,13,0.4397260273972603,0
2025-05-19,163271061023,598589,0,0,0,0,0,12,0.4410958904109589,0
2025-05-20,213875029996,602151,1,0,0,0,0,11,0.44246575342465755,1
2025-05-21,143367806063,644070,2,0,0,0,0,10,0.4438356164383562,0
2025-05-22,174295087388,572526,3,0,0,0,0,9,0.4452054794520548,0
2025-05-23,137081962346,494845,4,0,0,0,0,8,0.4465753424657534,0
2025-05-24,178364144916,600920,5,1,0,0,0,7,0.44794520547945205,0
2025-05-25,107660056034,446863,6,1,0,0,0,6,0.44931506849315067,0
2025-05-26,147405639468,518979,0,0,0,0,0,5,0.4506849315068493,0
2025-05-27,173897147992,644138,1,0,0,0,0,4,0.4520547945205479,0
2025-05-28,184387815515,587796,2,0,0,0,0,3,0.4534246575342466,0
2025-05-29,123769604580,505304,3,0,0,0,0,2,0.4547945205479452,0
2025-05-30,177291803036,572675,4,0,0,0,0,1,0.45616438356164385,0
2025-05-31,177920242027,680645,5,1,0,1,1,0,0.4575342465753425,0
2025-06-01,111580913114,458635,6,1,0,0,0,14,0.4589041095890411,0
2025-06-02,101202299408,417530,0,0,1,0,0,13,0.4602739726027397,0
2025-06-03,171012855444,571510,1,0,0,0,0,12,0.46164383561643835,0
2025-06-04,194529133421,601668,2,0,0,0,0,11,0.46301369863013697,0
2025-06-05,147682314885,557614,3,0,0,0,0,10,0.4643835616438356,0
2025-06-06,123514889260,449917,4,0,0,0,0,9,0.4657534246575342,0
2025-06-07,154516472228,610323,5,1,0,0,0,8,0.4671232876712329,0
2025-06-08,117837536785,493680,6,1,0,0,0,7,0.4684931506849315,0
2025-06-09,124843418441,553995,0,0,0,0,0,6,0.46986301369863015,0
2025-06-10,161133313762,636761,1,0,0,0,0,5,0.4712328767123288,0
2025-06-11,125806639899,443798,2,0,0,0,0,4,0.4726027397260274,0
2025-06-12,155226899076,500526,3,0,0,0,0,3,0.473972602739726,0
2025-06-13,224776239138,596943,4,0,0,0,0,2,0.47534246575342465,1
2025-06-14,138641140862,509491,5,1,0,0,0,1,0.4767123287671233,0
2025-06-15,169731726335,588995,6,1,0,1,0,0,0.4780821917808219,0
2025-06-16,171157754160,595951,0,0,0,0,0,14,0.4794520547945205,0
2025-06-17,167189801325,598255,1,0,0,0,0,13,0.4808219178082192,0
2025-06-18,150315486728,516995,2,0,0,0,0,12,0.4821917808219178,0
2025-06-19,153280529171,567368,3,0,0,0,0,11,0.48356164383561645,0
2025-06-20,177563380320,621305,4,0,0,0,0,10,0.4849315068493151,0
2025-06-21,169101733844,606501,5,1,0,0,0,9,0.4863013698630137,0
2025-06-22,102627822883,500848,6,1,0,0,0,8,0.4876712328767123,0
2025-06-23,99662368593,437676,0,0,1,0,0,7,0.48904109589041095,0
2025-06-24,157617079006,512706,1,0,0,0,0,6,0.4904109589041096,0
2025-06-25,143928205419,537764,2,0,0,0,0,5,0.4917808219178082,0
2025-06-26,130023286110,521393,3,0,0,0,0,4,0.4931506849315068,0
2025-06-27,165813550025,586358,4,0,0,0,0,3,0.4945205479452055,0
2025-06-28,208271453390,647505,5,1,0,0,0,2,0.4958904109589041,0
2025-06-29,111803890587,443771,6,1,0,0,0,1,0.49726027397260275,0
2025-06-30,118751928050,460495,0,0,1,1,1,0,0.4986301369863014,0
2025-07-01,212466040317,668135,1,0,0,0,0,14,0.5,0
