date,total_withdrawals_cop,reserve_traditional,reserve_model,idle,shortage,cost_daily
2026-04-21,140810849239,208789337556.80002,208789337556.80002,67978488317.80002,0.0,6797848.831780002
2026-04-22,120905347251,208789337556.80002,208789337556.80002,87883990305.80002,0.0,8788399.030580003
2026-04-23,171607745993,208789337556.80002,208789337556.80002,37181591563.80002,0.0,3718159.156380002
2026-04-24,141417592251,208789337556.80002,208789337556.80002,67371745305.80002,0.0,6737174.530580002
2026-04-25,183475346843,208789337556.80002,208789337556.80002,25313990713.80002,0.0,2531399.071380002
2026-04-26,95736493257,201822881527.30002,201822881527.30002,106086388270.30002,0.0,10608638.827030003
2026-04-27,159203880540,201822881527.30002,201822881527.30002,42619000987.30002,0.0,4261900.098730002
2026-04-28,149555948148,201822881527.30002,201822881527.30002,52266933379.30002,0.0,5226693.337930002
2026-04-29,158566094766,201822881527.30002,201822881527.30002,43256786761.30002,0.0,4325678.676130002
2026-04-30,162377665691,201822881527.30002,201822881527.30002,39445215836.30002,0.0,3944521.583630002
2026-05-01,91198250695,201822881527.30002,201822881527.30002,110624630832.30002,0.0,11062463.083230002
2026-05-02,235329306785,201822881527.30002,201822881527.30002,0.0,33506425257.69998,16753212.62884999
2026-05-03,126375973313,258862237463.50003,258862237463.50003,132486264150.50003,0.0,13248626.415050004
2026-05-04,144801620960,258862237463.50003,258862237463.50003,114060616503.50003,0.0,11406061.650350004
2026-05-05,139692614167,258862237463.50003,258862237463.50003,119169623296.50003,0.0,11916962.329650003
2026-05-06,160383425651,258862237463.50003,258862237463.50003,98478811812.50003,0.0,9847881.181250004
2026-05-07,168611206636,258862237463.50003,258862237463.50003,90251030827.50003,0.0,9025103.082750004
2026-05-08,212993365801,258862237463.50003,258862237463.50003,45868871662.50003,0.0,4586887.1662500035
2026-05-09,207432132549,258862237463.50003,258862237463.50003,51430104914.50003,0.0,5143010.491450003
2026-05-10,132888188728,234292702381.1,234292702381.1,101404513653.1,0.0,10140451.36531
2026-05-11,166127625199,234292702381.1,234292702381.1,68165077182.100006,0.0,6816507.718210001
2026-05-12,171972452134,234292702381.1,234292702381.1,62320250247.100006,0.0,6232025.0247100005
2026-05-13,215005964851,234292702381.1,234292702381.1,19286737530.100006,0.0,1928673.7530100008
2026-05-14,136516530848,236506561336.1,236506561336.1,99990030488.1,0.0,9999003.048810001
2026-05-15,198228507880,236506561336.1,236506561336.1,38278053456.100006,0.0,3827805.3456100007
2026-05-16,224287497872,236506561336.1,236506561336.1,12219063464.100006,0.0,1221906.3464100007
2026-05-17,110596075553,246716247659.2,246716247659.2,136120172106.20001,0.0,13612017.210620001
2026-05-18,172840097699,246716247659.2,246716247659.2,73876149960.20001,0.0,7387614.996020001
2026-05-19,214623877832,246716247659.2,246716247659.2,32092369827.200012,0.0,3209236.9827200016
2026-05-20,172166302943,246716247659.2,246716247659.2,74549944716.20001,0.0,7454994.471620002
2026-05-21,146069855587,246716247659.2,246716247659.2,100646392072.20001,0.0,10064639.207220001
2026-05-22,170943722951,246716247659.2,246716247659.2,75772524708.20001,0.0,7577252.470820001
2026-05-23,177275239214,246716247659.2,246716247659.2,69441008445.20001,0.0,6944100.844520002
2026-05-24,146556770125,236086265615.2,236086265615.2,89529495490.20001,0.0,8952949.549020002
2026-05-25,148444476759,236086265615.2,236086265615.2,87641788856.20001,0.0,8764178.885620002
2026-05-26,160022545820,236086265615.2,236086265615.2,76063719795.20001,0.0,7606371.979520001
2026-05-27,133369064859,195002763135.40002,195002763135.40002,61633698276.400024,0.0,6163369.827640003
2026-05-28,131810914011,195002763135.40002,195002763135.40002,63191849124.400024,0.0,6319184.912440003
2026-05-29,173393789262,195002763135.40002,195002763135.40002,21608973873.400024,0.0,2160897.3873400027
2026-05-30,200926086342,195002763135.40002,195002763135.40002,0.0,5923323206.599976,2961661.603299988
2026-05-31,154735388575,221018694976.2,221018694976.2,66283306401.20001,0.0,6628330.6401200015
2026-06-01,180150727645,221018694976.2,221018694976.2,40867967331.20001,0.0,4086796.7331200014
2026-06-02,154648263120,221018694976.2,221018694976.2,66370431856.20001,0.0,6637043.1856200015
2026-06-03,132411258208,221018694976.2,221018694976.2,88607436768.20001,0.0,8860743.676820002
2026-06-04,122607262783,221018694976.2,221018694976.2,98411432193.20001,0.0,9841143.219320001
2026-06-05,194616610885,221018694976.2,221018694976.2,26402084091.200012,0.0,2640208.4091200014
2026-06-06,170104493000,221018694976.2,221018694976.2,50914201976.20001,0.0,5091420.197620002
2026-06-07,113584587641,214078271973.50003,214078271973.50003,100493684332.50003,0.0,10049368.433250004
2026-06-08,87537275651,214078271973.50003,214078271973.50003,126540996322.50003,0.0,12654099.632250004
2026-06-09,142839142961,214078271973.50003,214078271973.50003,71239129012.50003,0.0,7123912.901250004
2026-06-10,195917534684,214078271973.50003,214078271973.50003,18160737289.50003,0.0,1816073.7289500032
2026-06-11,141150128904,215509288152.40002,215509288152.40002,74359159248.40002,0.0,7435915.924840003
2026-06-12,192083508321,215509288152.40002,215509288152.40002,23425779831.400024,0.0,2342577.9831400025
2026-06-13,142538858907,215509288152.40002,215509288152.40002,72970429245.40002,0.0,7297042.924540003
2026-06-14,153245085038,215509288152.40002,215509288152.40002,62264203114.400024,0.0,6226420.311440003
2026-06-15,132194975282,215509288152.40002,215509288152.40002,83314312870.40002,0.0,8331431.287040003
2026-06-16,170860557515,215509288152.40002,215509288152.40002,44648730637.400024,0.0,4464873.063740003
2026-06-17,179635373765,215509288152.40002,215509288152.40002,35873914387.400024,0.0,3587391.4387400025
2026-06-18,193022951523,211291859153.1,211291859153.1,18268907630.100006,0.0,1826890.7630100008
2026-06-19,161794127419,212325246675.30002,212325246675.30002,50531119256.30002,0.0,5053111.925630002
2026-06-20,159363043546,212325246675.30002,212325246675.30002,52962203129.30002,0.0,5296220.312930002
2026-06-21,124822077558,212325246675.30002,212325246675.30002,87503169117.30002,0.0,8750316.911730003
2026-06-22,189308941477,212325246675.30002,212325246675.30002,23016305198.30002,0.0,2301630.519830002
2026-06-23,134919693570,212325246675.30002,212325246675.30002,77405553105.30002,0.0,7740555.310530002
2026-06-24,134926758843,212325246675.30002,212325246675.30002,77398487832.30002,0.0,7739848.783230002
2026-06-25,166128558953,212325246675.30002,212325246675.30002,46196687722.30002,0.0,4619668.772230002
2026-06-26,193876322394,208239835624.7,208239835624.7,14363513230.700012,0.0,1436351.3230700013
2026-06-27,247626937851,213263954633.40002,213263954633.40002,0.0,34362983217.599976,17181491.608799987
2026-06-28,141827132739,272389631636.10004,272389631636.10004,130562498897.10004,0.0,13056249.889710004
2026-06-29,141396870606,272389631636.10004,272389631636.10004,130992761030.10004,0.0,13099276.103010004
2026-06-30,176031430273,272389631636.10004,272389631636.10004,96358201363.10004,0.0,9635820.136310004
